"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 148","","changes that seem small and unimportant at first will compound into remarkable results if you’re willing to stick with them for years."
"Highlight (Yellow)","Location 149","","We all deal with setbacks but in the long run, the quality of our lives often depends on the quality of our habits. With the same habits, you’ll end up with the same results. But with better habits, anything is possible."
"Highlight (Yellow)","Location 214","","“the aggregation of marginal gains,” which was the philosophy of searching for a tiny margin of improvement in everything you do."
"Highlight (Yellow)","Location 238","","It is so easy to overestimate the importance of one defining moment and underestimate the value of making small improvements on a daily basis. Too often, we convince ourselves that massive success requires massive action. Whether it is losing weight, building a business, writing a book, winning a championship, or achieving any other goal, we put pressure on ourselves to make some earth-shattering improvement that everyone will talk about."
"Highlight (Yellow)","Location 242","","if you can get 1 percent better each day for one year, you’ll end up thirty-seven times better by the time you’re done. Conversely, if you get 1 percent worse each day for one year, you’ll decline nearly down to zero."
"Highlight (Yellow)","Location 251","","Habits are the compound interest of self-improvement. The same way that money multiplies through compound interest, the effects of your habits multiply as you repeat them. They seem to make little difference on any given day and yet the impact they deliver over the months and years can be enormous. It is only when looking back two, five, or perhaps ten years later that the value of good habits and the cost of bad ones becomes strikingly apparent."
"Highlight (Yellow)","Location 269","","Success is the product of daily habits—not once-in-a-lifetime transformations."
"Highlight (Yellow)","Location 274","","Your outcomes are a lagging measure of your habits. Your net worth is a lagging measure of your financial habits. Your weight is a lagging measure of your eating habits. Your knowledge is a lagging measure of your learning habits. Your clutter is a lagging measure of your cleaning habits. You get what you repeat."
"Highlight (Yellow)","Location 320","","When you finally break through the Plateau of Latent Potential, people will call it an overnight success. The outside world only sees the most dramatic event rather than all that preceded it. But you know that it’s the work you did long ago—when it seemed that you weren’t making any progress—that makes the jump today possible."
"Highlight (Yellow)","Location 345","","Eventually, I began to realize that my results had very little to do with the goals I set and nearly everything to do with the systems I followed."
"Highlight (Yellow)","Location 347","","Goals are about the results you want to achieve. Systems are about the processes that lead to those results."
"Highlight (Yellow)","Location 361","","Goal setting suffers from a serious case of survivorship bias. We concentrate on the people who end up winning—the survivors—and mistakenly assume that ambitious goals led to their success while overlooking all of the people who had the same objective but didn’t succeed."
"Highlight (Yellow)","Location 374","","In order to improve for good, you need to solve problems at the systems level. Fix the inputs and the outputs will fix themselves."
"Highlight (Yellow)","Location 387","","When all of your hard work is focused on a particular goal, what is left to push you forward after you achieve it? This is why many people find themselves reverting to their old habits after accomplishing a goal."
"Highlight (Yellow)","Location 389","","The purpose of setting goals is to win the game. The purpose of building systems is to continue playing the game. True long-term thinking is goal-less thinking. It’s not about any single accomplishment. It is about the cycle of endless refinement and continuous improvement. Ultimately, it is your commitment to the process that will determine your progress."
"Highlight (Yellow)","Location 398","","Habits are like the atoms of our lives. Each one is a fundamental unit that contributes to your overall improvement. At first, these tiny routines seem insignificant, but soon they build on each other and fuel bigger wins that multiply to a degree that far outweighs the cost of their initial investment. They are both small and mighty. This is the meaning of the phrase atomic habits—a regular practice or routine that is not only small and easy to do, but also the source of incredible power; a component of the system of compound growth."
"Highlight (Yellow)","Location 466","","The ultimate form of intrinsic motivation is when a habit becomes part of your identity. It’s one thing to say I’m the type of person who wants this. It’s something very different to say I’m the type of person who is this."
"Highlight (Yellow)","Location 468","","The more pride you have in a particular aspect of your identity, the more motivated you will be to maintain the habits associated with it."
"Highlight (Yellow)","Location 482","","when your behavior and your identity are fully aligned, you are no longer pursuing behavior change. You are simply acting like the type of person you already believe yourself to be."
"Highlight (Yellow)","Location 491","","There is internal pressure to maintain your self-image and behave in a way that is consistent with your beliefs. You find whatever way you can to avoid contradicting yourself."
"Highlight (Yellow)","Location 499","","Progress requires unlearning. Becoming the best version of yourself requires you to continuously edit your beliefs, and to upgrade and expand your identity."
"Highlight (Yellow)","Location 503","","Your identity emerges out of your habits. You are not born with preset beliefs. Every belief, including those about yourself, is learned and conditioned through experience.*"
"Highlight (Yellow)","Location 525","","Every action you take is a vote for the type of person you wish to become. No single instance will transform your beliefs, but as the votes build up, so does the evidence of your new identity. This is one reason why meaningful change does not require radical change. Small habits can make a meaningful difference by providing evidence of a new identity. And if a change is meaningful, it actually is big. That’s the paradox of making small improvements."
"Highlight (Yellow)","Location 534","","Every time you choose to perform a bad habit, it’s a vote for that identity."
"Highlight (Yellow)","Location 540","","Decide the type of person you want to be. Prove it to yourself with small wins."
"Highlight (Yellow)","Location 551","","Once you have a handle on the type of person you want to be, you can begin taking small steps to reinforce your desired identity."
"Highlight (Yellow)","Location 629","","If you’re always being forced to make decisions about simple tasks—when should I work out, where do I go to write, when do I pay the bills—then you have less time for freedom. It’s only by making the fundamentals of life easier that you can create the mental space needed for free thinking and creativity."
"Highlight (Yellow)","Location 634","","The process of building a habit can be divided into four simple steps: cue, craving, response, and reward.*"
"Highlight (Yellow)","Location 659","","The cue is about noticing the reward. The craving is about wanting the reward. The response is about obtaining the reward."
"Highlight (Yellow)","Location 676","","In summary, the cue triggers a craving, which motivates a response, which provides a reward, which satisfies the craving and, ultimately, becomes associated with the cue. Together, these four steps form a neurological feedback loop—cue, craving, response, reward; cue, craving, response, reward—that ultimately allows you to create automatic habits. This cycle is known as the habit loop."
"Highlight (Yellow)","Location 689","","All behavior is driven by the desire to solve a problem. Sometimes the problem is that you notice something good and you want to obtain it. Sometimes the problem is that you are experiencing pain and you want to relieve it. Either way, the purpose of every habit is to solve the problems you face."
"Highlight (Yellow)","Location 740","","The 2nd law (Craving): Make it attractive."
"Highlight (Yellow)","Location 744","","Inversion of the 1st law (Cue): Make it invisible. Inversion of the 2nd law (Craving): Make it unattractive. Inversion of the 3rd law (Response): Make it difficult. Inversion of the 4th law (Reward): Make it unsatisfying."
"Highlight (Yellow)","Location 763","","The Four Laws of Behavior Change are a simple set of rules we can use to build better habits. They are (1) make it obvious, (2) make it attractive, (3) make it easy, and (4) make it satisfying."
"Highlight (Yellow)","Location 812","","Over time, the cues that spark our habits become so common that they are essentially invisible: the treats on the kitchen counter, the remote control next to the couch, the phone in our pocket. Our responses to these cues are so deeply encoded that it may feel like the urge to act comes from nowhere. For this reason, we must begin the process of behavior change with awareness."
"Highlight (Yellow)","Location 836","","One of our greatest challenges in changing habits is maintaining awareness of what we are actually doing. This helps explain why the consequences of bad habits can sneak up on us. We need a “point-and-call” system for our personal lives. That’s the origin of the Habits Scorecard, which is a simple exercise you can use to become more aware of your behavior. To create your own, make a list of your daily habits."
"Highlight (Yellow)","Location 853","","There are no good habits or bad habits. There are only effective habits. That is, effective at solving problems. All habits serve you in some way—even the bad ones—which is why you repeat them."
"Highlight (Yellow)","Location 870","","The process of behavior change always starts with awareness. Strategies like Pointing-and-Calling and the Habits Scorecard are focused on getting you to recognize your habits and acknowledge the cues that trigger them, which makes it possible to respond in a way that benefits you."
"Highlight (Yellow)","Location 891","","The sentence they filled out is what researchers refer to as an implementation intention, which is a plan you make beforehand about when and where to act. That is, how you intend to implement a particular habit."
"Highlight (Yellow)","Location 895","","Broadly speaking, the format for creating an implementation intention is: “When situation X arises, I will perform response Y.”"
"Highlight (Yellow)","Location 897","","Hundreds of studies have shown that implementation intentions are effective for sticking to our goals, whether it’s writing down the exact time and date of when you will get a flu shot or recording the time of your colonoscopy appointment. They increase the odds that people will stick with habits like recycling, studying, going to sleep early, and stopping smoking."
"Highlight (Yellow)","Location 913","","The simple way to apply this strategy to your habits is to fill out this sentence: I will [BEHAVIOR] at [TIME] in [LOCATION]."
"Highlight (Yellow)","Location 921","","We often say yes to little requests because we are not clear enough about what we need to be doing instead."
"Highlight (Yellow)","Location 921","","When your dreams are vague, it’s easy to rationalize little exceptions all day long and never get around to the specific things you need to do to succeed."
"Highlight (Yellow)","Location 947","","When it comes to building new habits, you can use the connectedness of behavior to your advantage. One of the best ways to build a new habit is to identify a current habit you already do each day and then stack your new behavior on top. This is called habit stacking."
"Highlight (Yellow)","Location 950","","Rather than pairing your new habit with a particular time and location, you pair it with a current habit."
"Highlight (Yellow)","Location 958","","The key is to tie your desired behavior into something you already do each day. Once you have mastered this basic structure, you can begin to create larger stacks by chaining small habits together. This allows you to take advantage of the natural momentum that comes from one behavior leading into the next—a positive version of the Diderot Effect."
"Highlight (Yellow)","Location 1009","","The 1st Law of Behavior Change is to make it obvious. Strategies like implementation intentions and habit stacking are among the most practical ways to create obvious cues for your habits and design a clear plan for when and where to take action."
"Highlight (Yellow)","Location 1013","","The implementation intention formula is: I will [BEHAVIOR] at [TIME] in [LOCATION]."
"Highlight (Yellow)","Location 1015","","The habit stacking formula is: After [CURRENT HABIT], I will [NEW HABIT]."
