"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 167","","The Untruth of Fragility: What doesn’t kill you makes you weaker. The Untruth of Emotional Reasoning: Always trust your feelings. The Untruth of Us Versus Them: Life is a battle between good people and evil people."
"Note","Location 169","","3 untruths"
"Highlight (Yellow)","Location 193","","In the fall of 2013, Greg began hearing about students asking for “triggering” material to be removed from courses."
"Highlight (Yellow)","Location 201","","Increasingly, however, the rationale for speech codes and speaker disinvitations was becoming medicalized: Students claimed that certain kinds of speech—and even the content of some books and courses—interfered with their ability to function. They wanted protection from material that they believed could jeopardize their mental health by “triggering” them, or making them “feel unsafe.”"
"Highlight (Yellow)","Location 207","","However, in 2015, four Columbia undergraduates wrote an essay in the school newspaper arguing that students “need to feel safe in the classroom” but “many texts in the Western canon” are “wrought with histories and narratives of exclusion and oppression” and contain “triggering and offensive material that marginalizes student identities in the classroom.” Some students said that these texts are so emotionally challenging to read and discuss that professors should issue “trigger warnings” and provide support for triggered students."
"Highlight (Yellow)","Location 213","","is safety versus danger a helpful framework for discussing reactions to literature? Or might that framework itself alter a student’s reactions to ancient texts, creating a feeling of threat and a stress response to what otherwise would have been experienced merely as discomfort or dislike?"
"Highlight (Yellow)","Location 273","","In that article, we argued that many parents, K-12 teachers, professors, and university administrators have been unknowingly teaching a generation of students to engage in the mental habits commonly seen in people who suffer from anxiety and depression."
"Highlight (Yellow)","Location 275","","beginning to react to words, books, and visiting speakers with fear and anger because they had been taught to exaggerate danger, use dichotomous (or binary) thinking, amplify their first emotional responses, and engage in a number of other cognitive distortions (which we will discuss further throughout this book). Such thought patterns directly harmed students’ mental health and interfered with their intellectual development—and sometimes the development of those around them."
"Highlight (Yellow)","Location 459","","The modern obsession with protecting young people from “feeling unsafe” is, we believe, one of the (several) causes of the rapid rise in rates of adolescent depression, anxiety, and suicide,"
"Highlight (Yellow)","Location 502","","The subjective experience of “harm” became definitional in assessing trauma. As a result, the word “trauma” became much more widely used, not just by mental health professionals but by their clients and patients—including an increasing number of college students."
"Highlight (Yellow)","Location 504","","As with trauma, a key change for most of the concepts Haslam examined was the shift to a subjective standard."
"Highlight (Yellow)","Location 539","","One student who sought out the safe space put it this way: “I was feeling bombarded by a lot of viewpoints that really go against my dearly and closely held beliefs.”"
"Highlight (Yellow)","Location 554","","Avoiding triggers is a symptom of PTSD, not a treatment for it."
"Highlight (Yellow)","Location 566","","A culture that allows the concept of “safety” to creep so far that it equates emotional discomfort with physical danger is a culture that encourages people to systematically protect one another from the very experiences embedded in daily life that they need in order to become strong and healthy."
"Highlight (Yellow)","Location 889","","In 2017, 58% of college students said it is “important to be part of a campus community where I am not exposed to intolerant and offensive ideas.”34 This statement was endorsed by 63% of very liberal students, but it’s a view that is not confined to the left; almost half of very conservative students (45%) endorsed that statement, too."
"Highlight (Yellow)","Location 900","","We chose [Venker] because millions of Americans think her viewpoints carry weight, or even agree with her. We think it’s important to get an understanding of why so many Americans do think these really interesting and difficult thoughts, so we can challenge them and better understand our own behaviors and our own thoughts.37"
"Highlight (Yellow)","Location 905","","When you bring a misogynistic, white supremacist men’s rights activist to campus in the name of “dialogue” and “the other side,” you are not only causing actual mental, social, psychological, and physical harm to students, but you are also—paying—for the continued dispersal of violent ideologies that kill our black and brown (trans) femme sisters. . . . Know, you are dipping your hands in their blood, Zach Wood."
"Highlight (Yellow)","Location 916","","Hanna Holborn Gray, the president of the University of Chicago from 1978 to 1993, once offered this principle: “Education should not be intended to make people comfortable; it is meant to make them think.”"
"Highlight (Yellow)","Location 930","","The term “microaggressions” refers to a way of thinking about brief and commonplace indignities and slights communicated to people of color (and others). Small acts of aggression are real, so the term could be useful, but because the definition includes accidental and unintentional offenses, the word “aggression” is misleading. Using the lens of microaggressions may amplify the pain experienced and the conflict that ensues. (On the other hand, there is nothing “micro” about intentional acts of aggression and bigotry.)"
"Highlight (Yellow)","Location 938","","The number of efforts to “disinvite” speakers from giving talks on campus has increased in the last few years; such efforts are often justified by the claim that the speaker in question will cause harm to students. But discomfort is not danger. Students, professors, and administrators should understand the concept of antifragility and keep in mind Hanna Holborn Gray’s principle: “Education should not be intended to make people comfortable; it is meant to make them think.”"
"Highlight (Yellow)","Location 1043","","When the hand being pricked by a needle was labeled with the participant’s own religion, the area of the participant’s brain that handles pain showed a larger spike of activity than when the hand was labeled with a different religion."
"Highlight (Yellow)","Location 1069","","“Identity politics” is a contentious term, but its basic meaning is simple. Jonathan Rauch, a scholar at The Brookings Institution, defines it as “political mobilization organized around group characteristics such as race, gender, and sexuality, as opposed to party, ideology, or pecuniary interest.” He notes that “in America, this sort of mobilization is not new, unusual, unAmerican, illegitimate, nefarious, or particularly leftwing.”34 Politics is all about groups forming coalitions to achieve their goals. If cattle ranchers, wine enthusiasts, or libertarians banding together to promote their interests is normal politics, then women, African Americans, or gay people banding together is normal politics, too."
"Highlight (Yellow)","Location 1209","","a variety of theories and approaches flourished on campus in humanities and social science departments that offered ways of analyzing society through the lens of power relationships among groups. (Examples include deconstructionism, poststructuralism, postmodernism, and critical theory.)"
"Highlight (Yellow)","Location 1231","","The human mind is prepared for tribalism, and these interpretations of intersectionality have the potential to turn tribalism way up."
"Highlight (Yellow)","Location 1232","","These interpretations of intersectionality teach people to see bipolar dimensions of privilege and oppression as ubiquitous in social interactions."
"Highlight (Yellow)","Location 1257","","Since “privilege” is defined as the “power to dominate” and to cause “oppression,” these axes are inherently moral dimensions. The people on top are bad, and the people below the line are good. This sort of teaching seems likely to encode the Untruth of Us Versus Them directly into students’ cognitive schemas: Life is a battle between good people and evil people."
"Highlight (Yellow)","Location 1269","","If we want to create welcoming, inclusive communities, we should be doing everything we can to turn down the tribalism and turn up the sense of common humanity. Instead, some theoretical approaches used in universities today may be hyperactivating our ancient tribal tendencies, even if that was not the intention of the professor."
"Highlight (Yellow)","Location 1274","","Intersectionality can be taught skillfully, as Crenshaw does in her TED Talk.66 It can be used to promote compassion and reveal injustices not previously seen. Yet somehow, many college students today seem to be adopting a different version of intersectional thinking and are embracing the Untruth of Us Versus Them."
"Highlight (Yellow)","Location 1279","","By the end of their first week on campus, students have learned to score their own and others’ levels of privilege, identify more distinct identity groups, and see more differences between people."
"Highlight (Yellow)","Location 1442","","Since then, many students on the left have become increasingly receptive to the idea that violence is sometimes justified as a response to speech they believe is “hateful.” At the same time, many students on the right have become increasingly eager to invite speakers that are likely to provoke a reaction from the left."
"Highlight (Yellow)","Location 1474","","So it’s time for those waiting in the center to pick a side."
"Note","Location 1475","","Yikes"
"Highlight (Yellow)","Location 1498","","The rationale, as an essay in the Berkeley op-ed series argued, is that physically violent actions, if used to shut down speech that is deemed hateful, are “not acts of violence” but, rather, “acts of self defense.”"
"Highlight (Yellow)","Location 1568","","It also includes a rhetorical flourish that became common in 2017: the assertion that a speaker will “deny” people from certain identity groups “the right to exist.”"
"Highlight (Yellow)","Location 1853","","It is striking how many of the critics’ complaints refer not to Tuvel’s arguments but to her word choices. In fact, one of the arguments for retraction given in the open letter was that Tuvel used “vocabulary and frameworks not recognized, accepted, or adopted by the conventions of the relevant subfields.”"
"Highlight (Yellow)","Location 1965","","For example, when a field lacks political diversity, researchers tend to congregate around questions and research methods that generally confirm their shared narrative, while ignoring questions and methods that don’t offer such support. The"
"Highlight (Yellow)","Location 2173","","we present six interacting explanatory threads: rising political polarization and cross-party animosity; rising levels of teen anxiety and depression; changes in parenting practices; the decline of free play; the growth of campus bureaucracy; and a rising passion for justice in response to major national events, combined with changing ideas about what justice requires."
"Highlight (Yellow)","Location 2179","","The rising political polarization in the United States, in which universities are increasingly seen as bastions of the left, has led to an increase in hostility and harassment from some off-campus right-wing individuals and groups."
"Highlight (Yellow)","Location 2184","","The increase in the number of campus administrators, along with the scope of their duties, may be having an effect at all schools"
"Highlight (Yellow)","Location 2196","","A set of new ideas about speech, violence, and safety has emerged on the far left in recent years, and the debate on campus is largely a debate within the left, pitting (mostly) older progressives, who generally have an expansive notion of free speech, against (mostly) younger progressives, who are more likely to support some limitations on speech in the name of inclusion.2"
"Highlight (Yellow)","Location 2201","","we begin to see the left and the right locked into a game of mutual provocation and reciprocal outrage that is an essential piece of the puzzle we are trying to solve in this book."
"Highlight (Yellow)","Location 2281","","In other words, Americans are now motivated to leave their couches to take part in political action not by love for their party’s candidate but by hatred of the other party’s candidate. Negative partisanship means that American politics is driven less by hope and more by the Untruth of Us Versus Them. “They” must be stopped, at all costs."
"Highlight (Yellow)","Location 2285","","Americans are now easily exploitable, and a large network of profit-driven media sites, political entrepreneurs, and foreign intelligence agencies are taking advantage of this vulnerability."
"Highlight (Yellow)","Location 2287","","the faculty and students at universities have shifted to the left since the 1990s, as we showed in the last chapter, while the “outrage industry” of talk radio, cable news networks, and conspiracy websites is more developed and effective on the right.17 (The mainstream media overall leans left,18 but the left simply never found a format or formula that could match the influence of Rush Limbaugh, Glenn Beck, and Sean Hannity.) Right-wing"
"Highlight (Yellow)","Location 2294","","The rising expressions of anger from the left on campus, sometimes directed against conservative speakers, led to rising expressions of anger from the right, off campus, sometimes directed in threatening ways at left-leaning professors and students, which in turn triggered more anger from the left on campus . . . and the cycle repeats."
"Highlight (Yellow)","Location 2317","","Many critics of campus protesters in 2015 accused them of overreacting to small things (such as Dean Spellman’s email at Claremont McKenna). But beginning in late 2016, we began to see more examples of off-campus overreaction from the right in response to speech by professors on the left."
"Highlight (Yellow)","Location 2545","","And that’s going to get you to contribute more content, and that’s going to get you . . . more likes and comments. . . . It’s a social-validation feedback loop . . . exactly the kind of thing that a hacker like myself would come up with, because you’re exploiting a vulnerability in human psychology."
"Highlight (Yellow)","Location 2587","","Applying labels to people can create what is called a looping effect: it can change the behavior of the person being labeled and become a self-fulfilling prophecy.14 This is part of why labeling is such a powerful cognitive distortion. If depression becomes part of your identity, then over time you’ll develop corresponding schemas about yourself and your prospects (I’m no good and my future is hopeless)."
"Highlight (Yellow)","Location 2638","","When kids use screens for two hours of their leisure time per day or less, there is no elevated risk of depression.21 But above two hours per day, the risks grow larger with each additional hour of screen time."
"Highlight (Yellow)","Location 2652","","It is worth remembering that humans’ neural architecture evolved under conditions of close, mostly continuous face-to-face contact with others (including non-visual and non-auditory contact; i.e., touch, olfaction), and that a decrease in or removal of a system’s key inputs may risk destabilization of the system.25"
"Highlight (Yellow)","Location 2730","","Clearly universities were not causing a national mental health crisis; they were responding to one, and this may explain why the practices and beliefs of safetyism spread so quickly after 2013. But safetyism does not help students who suffer from anxiety and depression. In fact, as we argue throughout this book, safetyism is likely to make things even worse for students who already struggle with mood disorders. Safetyism also inflicts collateral damage on the university’s culture of free inquiry, because it teaches students to see words as violence and to interpret ideas and speakers as safe versus dangerous, rather than merely as true versus false. That way of thinking about words is likely to promote the intensification of a call-out culture, which, of course, gives students one more reason to be anxious."
"Highlight (Yellow)","Location 3276","","One paradox of upper-middle-class American life is that some of the things parents and schools do to help kids get admitted to college may make them less able to thrive once they’re there."
"Highlight (Yellow)","Location 3293","","parenting strategies and laws that make it harder for kids to play on their own pose a serious threat to liberal societies by flipping our default setting from “figure out how to solve this conflict on your own” to “invoke force and/or third parties whenever conflict arises.”"
"Highlight (Yellow)","Location 3440","","Around 2013, however, Greg began to notice a change. More students seemed to be in agreement with administrators that they were unsafe, that many aspects of students’ lives needed to be carefully regulated by adults, and that it was far better to overreact to potential risks and threats than to underreact. In this way, campus administrators—usually with the best of intentions—were modeling distorted thinking.27"
"Highlight (Yellow)","Location 3539","","The bureaucratic innovation of “bias response” tools may be well intended,46 but they can have the unintended negative effect of creating an “us versus them” campus climate that results in hypervigilance and reduced trust. Some professors end up concluding that it isn’t worth the risk of having to appear before a bureaucratic panel, so it’s better to just eliminate any material from the syllabus or lecture that could lead to a complaint. Then, as more and more professors shy away from potentially provocative materials and discussion topics, their students miss out on opportunities to develop intellectual antifragility. As a result, they may come to find even more material offensive and require even more protection."
